Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric,27.8475,-113.125,90.0,bottom
C19,10uF,C_0603_1608Metric,22.2,-98.925,90.0,bottom
C2,100nF,C_0603_1608Metric,26.3875,-113.125,90.0,bottom
C20,10uF,C_0603_1608Metric,22.2,-102.025,270.0,bottom
C23,0.1uF,C_0603_1608Metric,55.965,-97.92,0.0,bottom
C24,0.1uF,C_0603_1608Metric,54.885,-93.57,0.0,bottom
C25,0.1uF,C_0603_1608Metric,61.63,-89.085,90.0,bottom
C26,0.1uF,C_0603_1608Metric,68.53,-93.52,180.0,bottom
C27,0.1uF,C_0603_1608Metric,66.93,-98.99,270.0,bottom
C28,1uF,C_0603_1608Metric,63.85,-100.99,270.0,bottom
C29,0.1uF,C_0603_1608Metric,66.36,-85.83,90.0,bottom
C3,22uF,C_1206_3216Metric,15.55,-110.65,0.0,bottom
C30,0.1uF,C_0603_1608Metric,65.4,-100.99,270.0,bottom
C31,1uF,C_0603_1608Metric,62.3,-100.995,270.0,bottom
C32,0.1uF,C_0603_1608Metric,61.1,-77.95,180.0,bottom
C33,12pF,C_0603_1608Metric,59.3,-88.3,0.0,bottom
C34,12pF,C_0603_1608Metric,63.955,-88.3,180.0,bottom
C35,0.1uF,C_0603_1608Metric,57.25,-77.95,180.0,bottom
C4,100uF,CP_EIA-3528-15_AVX-H,20.3025,-108.7225,0.0,bottom
C5,100uF,CP_EIA-3528-15_AVX-H,20.3,-105.4125,0.0,bottom
D1,Notification LED,FM-B2020RGBA-HG,2.48,-12.29,0.0,bottom
D2,B5819W,D_SOD-123,48.558911,-118.896,90.0,bottom
D4,D_Schottky_Small,D_SOD-323,20.2,-100.8,270.0,bottom
J1,Header 1,PinHeader_1x10_P2.54mm_Vertical,-4.792463,-35.153919,180.0,bottom
J2,RPi_GPIO,PinHeader_2x20_P2.54mm_Vertical,36.67,-11.53,90.0,top
J3,Header 3,PinHeader_1x10_P2.54mm_Vertical,87.731557,-34.843399,180.0,bottom
J7,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,41.59,-118.9,0.0,bottom
J8,Battery,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,62.15,-119.28,0.0,bottom
J9,BM20B_0.8_-40DS-0.4V_51_,HRS_BM20B_0.8_-40DS-0.4V_51_,15.84,-62.1,180.0,bottom
L1,6.8uH/4A,L_Bourns_SRP7028A_7.3x6.6mm,29.2575,-108.095,0.0,bottom
Q1,SI2301,SOT-23,6.345,-48.975,0.0,bottom
Q10,AO3400A,SOT-23,71.7,-73.9625,180.0,bottom
Q11,AO3400A,SOT-23,44.3125,-103.987501,0.0,bottom
Q2,S8050,SOT-23,9.745,-48.975,0.0,bottom
Q3,SI2301,SOT-23,51.628911,-118.256,270.0,bottom
Q4,S8050,SOT-23,40.7875,-103.987501,0.0,bottom
Q5,AO3400A,SOT-23,68.2,-73.9375,180.0,bottom
Q6,AO3400A,SOT-23,64.7,-73.9375,180.0,bottom
Q7,AO3400A,SOT-23,61.2,-73.9375,180.0,bottom
Q8,AO3400A,SOT-23,57.7,-73.9625,180.0,bottom
Q9,AO3400A,SOT-23,54.66,-86.22,0.0,bottom
R1,10K,R_0603_1608Metric,12.925,-47.79,0.0,bottom
R10,2M,R_0603_1608Metric,16.375,-112.53,0.0,bottom
R11,5.1K,R_0603_1608Metric,37.75,-113.36,180.0,bottom
R12,100K,R_0603_1608Metric,48.888911,-115.816,180.0,bottom
R13,2M,R_0603_1608Metric,27.14,-115.34,0.0,bottom
R14,220K,R_0603_1608Metric,16.375,-113.99,0.0,bottom
